Nivel_1,t_stamp,nombre_sitio,fecha_hora
2.72121,2025-09-11 03:24:47,tanque_alcaldes,2025-09-11 03:24:47
2.73258,2025-09-11 03:27:47,tanque_alcaldes,2025-09-11 03:27:47
2.73758,2025-09-11 03:30:47,tanque_alcaldes,2025-09-11 03:30:47
2.74167,2025-09-11 03:33:47,tanque_alcaldes,2025-09-11 03:33:47
2.75952,2025-09-11 03:36:47,tanque_alcaldes,2025-09-11 03:36:47
2.768,2025-09-11 03:39:47,tanque_alcaldes,2025-09-11 03:39:47
2.76973,2025-09-11 03:42:47,tanque_alcaldes,2025-09-11 03:42:47
0.0,2025-09-11 03:45:47,tanque_alcaldes,2025-09-11 03:45:47
2.78538,2025-09-11 03:48:47,tanque_alcaldes,2025-09-11 03:48:47
2.79098,2025-09-11 03:51:47,tanque_alcaldes,2025-09-11 03:51:47
2.80023,2025-09-11 03:54:47,tanque_alcaldes,2025-09-11 03:54:47
2.81598,2025-09-11 03:57:47,tanque_alcaldes,2025-09-11 03:57:47
2.828,2025-09-11 04:00:47,tanque_alcaldes,2025-09-11 04:00:47
2.83291,2025-09-11 04:03:47,tanque_alcaldes,2025-09-11 04:03:47
2.8447,2025-09-11 04:06:47,tanque_alcaldes,2025-09-11 04:06:47
2.85274,2025-09-11 04:09:47,tanque_alcaldes,2025-09-11 04:09:47
2.86022,2025-09-11 04:12:47,tanque_alcaldes,2025-09-11 04:12:47
2.86783,2025-09-11 04:15:47,tanque_alcaldes,2025-09-11 04:15:47
2.87862,2025-09-11 04:18:47,tanque_alcaldes,2025-09-11 04:18:47
2.87744,2025-09-11 04:21:47,tanque_alcaldes,2025-09-11 04:21:47
2.87326,2025-09-11 04:24:47,tanque_alcaldes,2025-09-11 04:24:47
2.88259,2025-09-11 04:27:47,tanque_alcaldes,2025-09-11 04:27:47
2.88736,2025-09-11 04:30:47,tanque_alcaldes,2025-09-11 04:30:47
2.88285,2025-09-11 04:33:47,tanque_alcaldes,2025-09-11 04:33:47
2.88303,2025-09-11 04:36:47,tanque_alcaldes,2025-09-11 04:36:47
2.89617,2025-09-11 04:39:47,tanque_alcaldes,2025-09-11 04:39:47
2.89734,2025-09-11 04:42:47,tanque_alcaldes,2025-09-11 04:42:47
2.89302,2025-09-11 04:45:47,tanque_alcaldes,2025-09-11 04:45:47
2.89043,2025-09-11 04:48:47,tanque_alcaldes,2025-09-11 04:48:47
2.90095,2025-09-11 04:51:47,tanque_alcaldes,2025-09-11 04:51:47
2.90374,2025-09-11 04:54:47,tanque_alcaldes,2025-09-11 04:54:47
2.90487,2025-09-11 04:57:47,tanque_alcaldes,2025-09-11 04:57:47
2.91483,2025-09-11 05:00:47,tanque_alcaldes,2025-09-11 05:00:47
2.91391,2025-09-11 05:03:47,tanque_alcaldes,2025-09-11 05:03:47
2.91371,2025-09-11 05:06:47,tanque_alcaldes,2025-09-11 05:06:47
2.91543,2025-09-11 05:09:47,tanque_alcaldes,2025-09-11 05:09:47
2.91007,2025-09-11 05:12:47,tanque_alcaldes,2025-09-11 05:12:47
2.91746,2025-09-11 05:15:47,tanque_alcaldes,2025-09-11 05:15:47
2.92364,2025-09-11 05:18:47,tanque_alcaldes,2025-09-11 05:18:47
2.91668,2025-09-11 05:21:47,tanque_alcaldes,2025-09-11 05:21:47
2.92895,2025-09-11 05:24:47,tanque_alcaldes,2025-09-11 05:24:47
2.93367,2025-09-11 05:27:47,tanque_alcaldes,2025-09-11 05:27:47
2.93475,2025-09-11 05:30:47,tanque_alcaldes,2025-09-11 05:30:47
2.93944,2025-09-11 05:33:47,tanque_alcaldes,2025-09-11 05:33:47
2.94424,2025-09-11 05:36:47,tanque_alcaldes,2025-09-11 05:36:47
2.94526,2025-09-11 05:39:47,tanque_alcaldes,2025-09-11 05:39:47
2.94537,2025-09-11 05:42:47,tanque_alcaldes,2025-09-11 05:42:47
2.94764,2025-09-11 05:45:47,tanque_alcaldes,2025-09-11 05:45:47
2.95071,2025-09-11 05:48:47,tanque_alcaldes,2025-09-11 05:48:47
2.95843,2025-09-11 05:51:47,tanque_alcaldes,2025-09-11 05:51:47
2.95017,2025-09-11 05:54:47,tanque_alcaldes,2025-09-11 05:54:47
2.94679,2025-09-11 05:57:47,tanque_alcaldes,2025-09-11 05:57:47
2.94625,2025-09-11 06:00:47,tanque_alcaldes,2025-09-11 06:00:47
2.93795,2025-09-11 06:03:47,tanque_alcaldes,2025-09-11 06:03:47
2.93849,2025-09-11 06:06:47,tanque_alcaldes,2025-09-11 06:06:47
2.93686,2025-09-11 06:09:47,tanque_alcaldes,2025-09-11 06:09:47
2.92725,2025-09-11 06:12:47,tanque_alcaldes,2025-09-11 06:12:47
2.91429,2025-09-11 06:15:47,tanque_alcaldes,2025-09-11 06:15:47
2.92351,2025-09-11 06:18:47,tanque_alcaldes,2025-09-11 06:18:47
0.0,2025-09-11 06:21:47,tanque_alcaldes,2025-09-11 06:21:47
2.90301,2025-09-11 06:24:47,tanque_alcaldes,2025-09-11 06:24:47
2.90523,2025-09-11 06:27:47,tanque_alcaldes,2025-09-11 06:27:47
0.0,2025-09-11 06:30:47,tanque_alcaldes,2025-09-11 06:30:47
2.89014,2025-09-11 06:33:47,tanque_alcaldes,2025-09-11 06:33:47
2.89338,2025-09-11 06:36:47,tanque_alcaldes,2025-09-11 06:36:47
2.89846,2025-09-11 06:39:47,tanque_alcaldes,2025-09-11 06:39:47
2.88453,2025-09-11 06:42:47,tanque_alcaldes,2025-09-11 06:42:47
2.87645,2025-09-11 06:45:47,tanque_alcaldes,2025-09-11 06:45:47
2.87528,2025-09-11 06:48:47,tanque_alcaldes,2025-09-11 06:48:47
2.86023,2025-09-11 06:51:47,tanque_alcaldes,2025-09-11 06:51:47
2.86424,2025-09-11 06:54:47,tanque_alcaldes,2025-09-11 06:54:47
2.85835,2025-09-11 06:57:47,tanque_alcaldes,2025-09-11 06:57:47
2.85819,2025-09-11 07:00:47,tanque_alcaldes,2025-09-11 07:00:47
2.85574,2025-09-11 07:03:47,tanque_alcaldes,2025-09-11 07:03:47
2.8512,2025-09-11 07:06:47,tanque_alcaldes,2025-09-11 07:06:47
0.0,2025-09-11 07:09:47,tanque_alcaldes,2025-09-11 07:09:47
2.82136,2025-09-11 07:12:47,tanque_alcaldes,2025-09-11 07:12:47
2.82154,2025-09-11 07:15:47,tanque_alcaldes,2025-09-11 07:15:47
2.81382,2025-09-11 07:18:47,tanque_alcaldes,2025-09-11 07:18:47
